Хозяева,Гости,Первые,Вторые
Локомотив,Салават Юлаев,2,3
Торпедо НН,Динамо М,4,2
Витязь,Амур,4,1
Динамо Мн,СКА,1,2
Йокерит,ХК Сочи,4,2
Ак Барс,Спартак,3,1
Нефтехимик,Адмирал,4,0
Барыс,Автомобилист,5,4
Авангард,Локомотив,1,4
Северсталь,Сибирь,1,0
Торпедо НН,Трактор,5,2
Витязь,СКА,6,5
Динамо Мн,Амур,2,1
Динамо Р,ХК Сочи,2,1
Куньлунь РС,Адмирал,3,1
Динамо М,Спартак,6,3
Металлург Мг,Барыс,4,3
Салават Юлаев,Автомобилист,3,2
Авангард,ХК Сочи,3,1
Витязь,Локомотив,1,4
СКА,Трактор,4,3
ЦСКА,Сибирь,1,0
Динамо Мн,Нефтехимик,3,1
Йокерит,Ак Барс,4,3
Динамо Р,Северсталь,0,2
Амур,Торпедо НН,4,3
Куньлунь РС,Динамо М,3,5
Металлург Мг,Автомобилист,4,2
Салават Юлаев,Сибирь,1,3
Динамо М,Барыс,3,1
Спартак,Нефтехимик,5,1
ЦСКА,Ак Барс,1,2
Йокерит,Северсталь,4,1
Адмирал,Торпедо НН,2,1
Амур,Динамо Р,3,2
Трактор,Авангард,4,3
Куньлунь РС,Витязь,4,2
Ак Барс,Салават Юлаев,2,0
Локомотив,Барыс,4,3
Динамо М,Металлург Мг,2,4
СКА,Нефтехимик,2,0
Спартак,Северсталь,2,0
ХК Сочи,Динамо Мн,3,7
Адмирал,Динамо Р,1,2
Амур,Витязь,2,1
Сибирь,Торпедо НН,0,3
Автомобилист,Авангард,5,2
Трактор,Йокерит,3,2
ЦСКА,Куньлунь РС,4,1
Ак Барс,Динамо Мн,3,4
СКА,Локомотив,1,0
Спартак,Металлург Мг,0,4
ХК Сочи,Салават Юлаев,0,3
Адмирал,Витязь,3,2
Сибирь,Динамо Р,3,1
Барыс,Авангард,1,0
Автомобилист,Йокерит,5,1
Динамо М,ЦСКА,0,3
Амур,Трактор,0,2
Ак Барс,Металлург Мг,1,3
Нефтехимик,Динамо Мн,3,4
Северсталь,Локомотив,1,5
Сибирь,Витязь,2,1
Барыс,СКА,3,0
Салават Юлаев,Йокерит,3,2
ХК Сочи,Динамо Р,3,2
Амур,Трактор,4,5
Авангард,Спартак,5,2
Куньлунь РС,ЦСКА,2,1
Нефтехимик,Автомобилист,2,3
Торпедо НН,Динамо Мн,3,4
Динамо М,Северсталь,3,2
Барыс,Ак Барс,3,6
Салават Юлаев,СКА,0,5
Адмирал,Трактор,3,4
Металлург Мг,ХК Сочи,3,1
Авангард,Автомобилист,3,1
Локомотив,Динамо М,3,1
Торпедо НН,Северсталь,2,3
ЦСКА,Спартак,1,0
Адмирал,Трактор,2,4
Салават Юлаев,Ак Барс,2,3
Динамо Мн,Куньлунь РС,6,5
Йокерит,Нефтехимик,3,6
Динамо Р,Сибирь,4,1
Автомобилист,ХК Сочи,4,5
Авангард,Барыс,4,1
Локомотив,Северсталь,2,1
Витязь,Торпедо НН,1,3
СКА,Динамо М,5,3
ЦСКА,Амур,1,5
Металлург Мг,Ак Барс,2,1
Динамо Мн,Спартак,1,2
Йокерит,Сибирь,4,3
Динамо Р,Нефтехимик,4,3
Автомобилист,Салават Юлаев,4,3
Трактор,ХК Сочи,4,2
Куньлунь РС,Барыс,1,2
Торпедо НН,Амур,2,1
ЦСКА,Адмирал,2,1
Йокерит,СКА,5,4
Авангард,Сибирь,4,3
Северсталь,Нефтехимик,6,5
Витязь,Динамо Р,3,4
Металлург Мг,Салават Юлаев,2,5
Трактор,Динамо М,5,3
Ак Барс,Амур,3,2
Локомотив,Куньлунь РС,4,3
СКА,Барыс,3,4
Динамо Мн,Адмирал,3,2
Спартак,ЦСКА,4,3
Торпедо НН,Автомобилист,4,3
Витязь,Сибирь,5,2
ХК Сочи,Авангард,4,5
Трактор,Салават Юлаев,1,6
Ак Барс,Динамо М,4,5
Локомотив,Адмирал,1,3
Нефтехимик,Амур,3,2
Северсталь,Куньлунь РС,2,1
СКА,Йокерит,2,0
Динамо Мн,Барыс,6,5
Динамо Р,Металлург Мг,4,5
Торпедо НН,Авангард,0,1
ХК Сочи,Автомобилист,6,7
Амур,Адмирал,1,2
Нефтехимик,Динамо М,0,3
Витязь,Спартак,2,5
СКА,Куньлунь РС,7,0
ЦСКА,Салават Юлаев,2,3
